season,team_id,team_name,player_id,Name,position_code,POS,G,GS,GO,airOuts,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,ERA,IP,W,L,SV,SVOpp,HLD,BS,ER,WHIP,BF,Outs,GPitched,CG,SHO,Str,Str%,HBP.1,BK,WP,pickOffs,TB,GO/FO,W%,P/IP,GF,K/BB,K/9,BB/9,H/9,R/9,HR/9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,SF,team,QS,IP_corrected,1B,BABIP
2024,562.0,Sultanes de Monterrey,663884,Nolan Kingham,1,"SP, RP",14,8,57,36.0,22,7,1,4,32,14,0,44,0,0.265,166,0.319,0.392,0.7110000000000001,1,0,0.0,3,627,3.642857142857143,42.0,3,1,0,0,1,0,17,1.380952380952381,183,126,14.0,0,0.0,414,0.6602870813397129,0.0,1,2,0.0,65,1.58,0.75,14.928571428571429,3.0,2.2857142857142856,6.857142857142857,3.0,9.428571428571429,4.714285714285714,0.8571428571428571,0.0,0.0,0.0,1.0,2,MTY,2,42.0,32,0.303
2024,562.0,Sultanes de Monterrey,605501,Stephen Tarpley,1,SP,17,17,95,60.0,40,20,1,5,75,35,0,84,3,0.273,308,0.352,0.393,0.745,4,9,69.2,12,1295,4.111111111111111,81.0,7,3,0,0,0,0,37,1.4691358024691359,352,243,17.0,0,0.0,831,0.6416988416988417,3.0,4,6,2.0,121,1.58,0.7,15.987654320987655,0.0,2.142857142857143,8.333333333333334,3.888888888888889,9.333333333333334,4.444444444444445,0.5555555555555556,0.0,0.0,0.0,5.0,1,MTY,4,81.0,58,0.345
2024,562.0,Sultanes de Monterrey,593144,Richard Rodríguez,1,RP,41,0,29,38.0,23,3,0,7,52,8,2,35,3,0.229,153,0.279,0.386,0.665,3,3,50.0,2,658,4.137096774193548,41.1,3,3,4,7,7,3,19,1.0403225806451613,165,124,41.0,0,0.0,435,0.6610942249240122,3.0,0,3,0.0,59,0.76,0.5,15.919354838709676,10.0,6.5,11.32258064516129,1.7419354838709677,7.620967741935483,5.008064516129032,1.5241935483870968,11.0,5.0,0.0,0.0,1,MTY,0,41.333333333333336,25,0.295
2024,562.0,Sultanes de Monterrey,622492,Keury Mella,1,RP,33,0,46,30.0,16,7,0,2,7,17,1,31,1,0.279,111,0.374,0.396,0.77,1,0,0.0,4,493,4.550561797752809,29.2,3,1,0,0,6,0,15,1.6179775280898876,132,89,33.0,0,0.0,279,0.565922920892495,1.0,0,4,0.0,44,1.53,0.75,16.617977528089888,3.0,0.4117647058823529,2.1235955056179776,5.157303370786517,9.404494382022472,4.853932584269662,0.6067415730337078,15.0,5.0,0.0,1.0,2,MTY,0,29.666666666666668,22,0.279
2024,562.0,Sultanes de Monterrey,808721,Kevin Kelly,1,"SP, RP",16,11,47,64.0,33,12,0,6,39,36,1,55,5,0.275,200,0.395,0.425,0.8200000000000001,2,4,66.7,6,982,4.673076923076923,52.0,1,3,0,0,0,0,27,1.75,246,156,16.0,1,1.0,575,0.5855397148676171,5.0,1,5,1.0,85,0.73,0.25,18.884615384615383,2.0,1.0833333333333333,6.75,6.230769230769231,9.51923076923077,5.711538461538462,1.0384615384615385,0.0,0.0,0.0,3.0,2,MTY,1,52.0,37,0.312
2024,562.0,Sultanes de Monterrey,601978,Fabian Cota,1,RP,30,0,26,23.0,15,7,2,3,24,7,0,28,3,0.28,100,0.342,0.48,0.8220000000000001,2,1,33.3,3,448,5.1923076923076925,26.0,2,1,0,1,7,1,15,1.3461538461538463,111,78,30.0,0,0.0,283,0.6316964285714286,3.0,0,1,1.0,48,1.13,0.667,17.23076923076923,1.0,3.4285714285714284,8.307692307692308,2.423076923076923,9.692307692307692,5.1923076923076925,1.0384615384615385,9.0,4.0,0.0,0.0,1,MTY,0,26.0,16,0.338
2024,562.0,Sultanes de Monterrey,660508,Norwith Gudiño,1,"SP, RP",15,10,52,51.0,33,6,1,8,38,24,0,45,1,0.245,184,0.333,0.418,0.751,3,4,57.1,2,796,5.5479452054794525,48.2,4,4,0,0,0,0,30,1.4178082191780823,211,146,15.0,0,0.0,496,0.6231155778894473,1.0,1,2,1.0,77,1.02,0.5,16.356164383561644,1.0,1.5833333333333333,7.027397260273973,4.438356164383562,8.321917808219178,6.102739726027398,1.4794520547945207,1.0,0.0,0.0,1.0,1,MTY,0,48.666666666666664,30,0.266
2024,562.0,Sultanes de Monterrey,664196,Tanner Anderson,1,SP,18,18,117,68.0,59,20,1,10,63,33,0,104,0,0.299,348,0.357,0.448,0.8049999999999999,4,2,33.3,20,1385,5.5793357933579335,90.1,6,4,0,0,0,0,56,1.5166051660516606,385,271,18.0,0,0.0,914,0.6599277978339351,0.0,0,0,0.0,156,1.72,0.6,15.33210332103321,0.0,1.9090909090909092,6.276752767527675,3.2878228782287824,10.361623616236162,5.878228782287823,0.996309963099631,0.0,0.0,0.0,1.0,3,MTY,4,90.33333333333333,73,0.338
2024,562.0,Sultanes de Monterrey,670328,Juan Gámez,1,RP,27,0,28,15.0,15,3,0,1,21,9,0,31,2,0.33,94,0.4,0.394,0.794,2,3,60.0,4,409,5.785714285714286,23.1,1,2,8,10,4,2,15,1.7142857142857144,106,70,27.0,0,0.0,264,0.6454767726161369,2.0,0,7,1.0,37,1.87,0.333,17.52857142857143,13.0,2.3333333333333335,8.1,3.4714285714285715,11.957142857142857,5.785714285714286,0.38571428571428573,6.0,3.0,0.0,1.0,0,MTY,0,23.333333333333332,27,0.417
2024,562.0,Sultanes de Monterrey,811370,Enrique Castillo,1,RP,14,0,16,17.0,11,8,0,1,14,12,0,18,1,0.277,65,0.397,0.446,0.843,2,0,0.0,2,320,5.823529411764706,17.0,2,1,0,0,0,0,11,1.7647058823529411,78,51,14.0,0,0.0,185,0.578125,1.0,1,3,0.0,29,0.94,0.667,18.823529411764707,4.0,1.1666666666666667,7.411764705882353,6.352941176470588,9.529411764705882,5.823529411764706,0.5294117647058824,10.0,6.0,0.0,0.0,0,MTY,0,17.0,9,0.34
