season,team_id,team_name,player_id,Name,position_code,W%,R/9,BF,BABIP,OBP,SLG,OPS,K/9,BB/9,HR/9,H/9,K/BB,inheritedRunners,inheritedRunnersScored,bequeathedRunners,bequeathedRunnersScored,SB,CS,QS,GF,2B,3B,GIDP,gidpOpp,WP,BK,pickOffs,totalSwings,swingAndMisses,BIP,runSupport,Str%,P/IP,P/PA,BB%,K%,HR/PA,BB/K,ISO,FO,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,Strikes,Fstrikes,CSW,Cstr,POS,HR,K,BB,numP,AVG,HBP,SF,H,AB,R,ER,G,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%,CSW%,CStr%,F-Strike%,IP,IP_corrected,1B
2024,575.0,Dorados de Chihuahua,517448,Wilfredo Boscan,1,0.4,8.12621359223301,168,0.432,0.431,0.641,1.072,6.29126213592233,2.0970873786407767,2.0970873786407767,16.25242718446602,3.0,2.0,1.0,12.0,5.0,0.0,1.0,2.0,0.0,14,0,6.0,29.0,1.0,0.0,0.0,277,37,134,25.0,65.0,18.23,3.726,4.8,14.3,0.048,0.333,0.244,25,4,8,35,13,1,26,22,CHI,407,103,165,128,"SP, RP",8,24,8,626,0.397,2,1,62,156,31,31,10,21.1,5.9,13.4,28.4,42.5,25.4,3.7,9.5,26.4,20.4,61.3,34.1,34.333333333333336,40
2024,575.0,Dorados de Chihuahua,542360,Porfirio Lopez,1,0.5,5.571428571428571,184,0.336,0.378,0.461,0.839,7.5,5.142857142857143,0.8571428571428571,9.214285714285714,1.4583333333333333,7.0,1.0,10.0,6.0,1.0,1.0,2.0,7.0,12,2,6.0,26.0,3.0,2.0,2.0,318,83,124,30.0,59.6,16.81,3.837,13.0,19.0,0.022,0.686,0.182,27,9,5,40,12,0,19,12,CHI,421,108,181,98,"SP, RP",4,35,24,706,0.279,1,1,43,154,26,23,21,10.3,11.8,26.1,31.5,41.9,19.4,7.3,6.0,25.6,13.9,58.7,42.0,42.0,25
2024,575.0,Dorados de Chihuahua,593163,Carlos Navas,1,0.5,5.8909090909090915,84,0.346,0.357,0.466,0.823,9.818181818181818,3.4363636363636365,1.4727272727272729,10.30909090909091,2.857142857142857,14.0,8.0,7.0,4.0,2.0,1.0,0.0,2.0,4,0,1.0,10.0,3.0,1.0,0.0,147,34,55,16.0,61.2,18.55,4.048,8.3,23.8,0.036,0.35,0.178,17,4,2,11,5,0,11,5,CHI,208,53,94,60,RP,3,20,7,340,0.288,2,2,21,73,12,11,23,13.6,10.0,23.1,40.0,29.1,23.6,7.3,15.5,27.6,17.6,63.1,18.1,18.333333333333332,14
2024,575.0,Dorados de Chihuahua,622464,Wendell Floranus,1,,20.76923076923077,27,0.429,0.5,0.714,1.214,10.384615384615385,10.384615384615385,4.153846153846154,16.615384615384617,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,1,0,1.0,5.0,2.0,0.0,0.0,41,10,17,1.0,60.2,22.62,3.63,18.5,18.5,0.074,1.0,0.333,3,0,0,6,3,0,2,3,CHI,59,19,28,18,RP,2,5,5,98,0.381,0,0,8,21,10,8,5,33.3,10.2,24.4,35.3,52.9,11.8,0.0,0.0,28.6,18.4,70.4,4.1,4.333333333333333,5
2024,575.0,Dorados de Chihuahua,653252,Sasagi Sanchez,1,1.0,3.96,100,0.313,0.306,0.375,0.681,7.92,2.52,0.72,8.28,3.142857142857143,7.0,1.0,2.0,0.0,3.0,0.0,0.0,10.0,4,0,4.0,18.0,2.0,0.0,0.0,174,33,71,14.0,67.6,14.32,3.58,7.0,22.0,0.02,0.318,0.114,19,5,5,19,4,0,11,8,CHI,242,68,102,69,RP,2,22,7,358,0.261,0,3,23,88,11,10,23,8.7,9.2,19.0,32.4,38.0,22.5,7.0,15.0,28.5,19.3,68.0,25.0,25.0,17
2024,575.0,Dorados de Chihuahua,660875,Jesús Reyes,1,0.667,9.9,101,0.343,0.41,0.518,0.9279999999999999,6.75,5.85,1.35,11.7,1.1538461538461537,13.0,7.0,12.0,6.0,3.0,0.0,0.0,5.0,6,1,1.0,19.0,4.0,0.0,0.0,165,36,71,11.0,60.9,17.9,3.545,12.9,14.9,0.03,0.867,0.205,8,4,2,31,3,0,18,5,CHI,218,59,89,53,RP,3,15,13,358,0.313,2,2,26,83,22,19,23,27.3,10.1,21.8,15.5,50.7,28.2,5.6,2.0,24.9,14.8,58.4,20.0,20.0,16
2024,575.0,Dorados de Chihuahua,664475,Edgar Torres,1,0.5,8.526315789473683,156,0.395,0.419,0.629,1.048,4.263157894736842,2.557894736842105,1.7052631578947368,15.631578947368421,1.6666666666666667,7.0,6.0,11.0,4.0,2.0,0.0,0.0,3.0,11,3,4.0,28.0,0.0,0.0,1.0,249,34,131,25.0,67.7,16.01,3.25,5.8,9.6,0.038,0.6,0.245,22,8,2,44,13,0,29,13,CHI,343,103,125,91,"SP, RP",6,15,9,507,0.385,1,2,55,143,30,29,14,17.1,6.7,13.7,26.7,43.5,23.7,6.1,3.8,24.7,17.9,66.0,31.2,31.666666666666668,35
2024,575.0,Dorados de Chihuahua,670369,Christian Torres,1,1.0,3.4363636363636365,81,0.3,0.346,0.417,0.7629999999999999,5.4,3.4363636363636365,0.9818181818181819,9.818181818181818,1.5714285714285714,4.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,4,0,1.0,11.0,0.0,1.0,0.0,144,28,62,10.0,65.5,15.65,3.543,8.6,13.6,0.025,0.636,0.139,12,5,5,20,4,0,8,8,CHI,188,57,72,44,"SP, RP",2,11,7,287,0.278,1,1,20,72,7,7,7,12.5,9.8,19.4,25.8,45.2,21.0,8.1,4.9,25.1,15.3,70.4,18.1,18.333333333333332,14
2024,575.0,Dorados de Chihuahua,675132,Yamil Castillo,1,,0.0,17,0.231,0.353,0.214,0.567,2.076923076923077,6.230769230769231,0.0,6.230769230769231,0.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,2.0,4.0,0.0,0.0,0.0,35,8,13,1.0,56.0,17.31,4.412,17.6,5.9,0.0,3.0,0.0,3,2,1,4,0,0,1,2,CHI,42,8,15,7,RP,0,1,3,75,0.214,0,0,3,14,0,0,2,0.0,10.7,22.9,23.1,46.2,15.4,15.4,-11.8,20.0,9.3,47.1,4.1,4.333333333333333,3
2024,575.0,Dorados de Chihuahua,678581,Karlo Seijas,1,,40.5,21,0.667,0.619,0.833,1.452,10.125,6.75,0.0,33.75,1.5,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,5,0,0.0,7.0,0.0,0.0,0.0,38,6,15,0.0,60.7,31.5,4.0,9.5,14.3,0.0,0.667,0.278,1,2,0,2,4,0,1,5,CHI,51,15,19,13,RP,0,3,2,84,0.556,1,0,10,18,12,12,3,0.0,7.1,15.8,33.3,46.7,6.7,13.3,4.8,22.6,15.5,71.4,2.2,2.6666666666666665,5
