season,team_id,team_name,player_id,Name,POS,G,GO,R,2B,3B,HR,K,BB,IBB,H,HBP,AVG,AB,OBP,SLG,OPS,CS,SB,SB%,GIDP,numP,PA,TB,RBI,LOB,sacBunts,SF,BABIP,GO/FO,AB/HR,team,1B
2024,4444.0,Caliente de Durango,676020,Javier Sanchez,X,18,7,1,2,0,0,9,3,0,3,0,0.13,23,0.231,0.217,0.448,0,0,,0,106,27,5,1,13,1,0,0.214,1.4,,DUR,
2024,4444.0,Caliente de Durango,572127,Jose Sermo,1B,8,10,4,1,0,2,11,2,0,4,1,0.129,31,0.206,0.355,0.561,0,0,,2,133,34,11,4,17,0,0,0.111,1.67,15.5,DUR,
2024,4444.0,Caliente de Durango,696115,Elmer Lopez,CF,8,2,0,0,0,0,4,0,0,0,0,0.0,7,0.0,0.0,0.0,0,0,,0,26,7,0,0,1,0,0,0.0,2.0,,DUR,
2024,496.0,Leones de Yucatan,827111,Jafet Ojeda,X,8,0,2,1,0,0,2,1,0,3,0,0.6,5,0.667,0.8,1.467,0,0,,0,20,6,4,0,0,0,0,1.0,,,YUC,
2024,496.0,Leones de Yucatan,541608,Ramón Cabrera,C,3,1,1,0,0,1,2,1,0,4,0,0.4,10,0.455,0.7,1.155,0,0,,0,47,11,7,1,2,0,0,0.429,0.33,10.0,YUC,
2024,496.0,Leones de Yucatan,500874,José A. Martínez,LF,12,11,7,3,0,1,6,5,0,14,1,0.35,40,0.426,0.5,0.926,0,0,,2,191,47,20,4,17,0,1,0.382,1.1,40.0,YUC,
2024,496.0,Leones de Yucatan,660436,Yadir Drake,RF,69,85,47,16,0,14,27,20,0,81,2,0.312,260,0.363,0.535,0.898,1,1,50.0,13,982,289,139,52,124,5,2,0.303,1.15,18.57,YUC,
2024,496.0,Leones de Yucatan,650995,Norberto Obeso,LF,61,76,41,13,1,2,35,42,2,66,2,0.311,212,0.43,0.41,0.84,1,2,66.7,6,1084,257,87,21,91,1,0,0.366,2.11,106.0,YUC,
2024,496.0,Leones de Yucatan,600301,Taylor Motter,3B,40,23,27,7,0,11,40,12,0,46,0,0.303,152,0.352,0.566,0.918,0,2,100.0,6,655,165,86,31,80,0,1,0.343,0.52,13.82,YUC,
2024,496.0,Leones de Yucatan,606299,José Peraza,2B,79,95,50,7,2,7,27,20,0,95,3,0.302,315,0.345,0.403,0.748,1,1,50.0,9,1187,343,127,41,151,1,4,0.309,0.92,45.0,YUC,
2024,496.0,Leones de Yucatan,514913,Rubén Tejada,SS,73,59,35,14,0,4,43,38,0,70,5,0.298,235,0.405,0.409,0.814,0,3,100.0,7,1064,279,96,34,88,0,1,0.349,0.92,58.75,YUC,
2024,496.0,Leones de Yucatan,678465,Tomo Otosaka,CF,65,94,38,13,0,0,44,46,0,70,0,0.295,237,0.408,0.35,0.758,6,12,66.7,5,1149,290,83,20,87,6,1,0.361,2.61,,YUC,
2024,496.0,Leones de Yucatan,543021,Art Charles,1B,78,39,62,14,0,33,95,76,2,74,3,0.294,252,0.457,0.742,1.199,0,0,,6,1450,335,187,81,121,0,4,0.32,0.81,7.64,YUC,
2024,496.0,Leones de Yucatan,672906,Lazaro Alonso,1B,21,7,4,2,0,3,16,5,0,12,2,0.293,41,0.388,0.561,0.949,0,0,,0,186,49,23,10,21,0,1,0.391,1.0,13.67,YUC,
2024,496.0,Leones de Yucatan,550492,Luis Juarez,DH,61,54,34,16,0,10,42,23,2,64,2,0.286,224,0.355,0.491,0.846,0,0,,4,914,251,110,45,111,0,2,0.31,0.82,22.4,YUC,
