season,team_id,team_name,player_id,Name,position_code,POS,PA,TB,LOB,sacBunts,SF,BABIP,XBH,HBP,gidp,gidpOpp,numP,P/PA,BB%,K%,HR/PA,BB/K,ISO,ROE,walkOffs,FO,totalSwings,swingAndMisses,BIP,popOuts,lineOuts,GO,flyHits,popHits,lineHits,groundHits,team,HR,K,BB,AB,H,HR/FB%,SwStr%,Whiff%,FB%,GB%,LD%,PopUp%,K-BB%
2024,523.0,Piratas de Campeche,499864,Luis Jimenez,5,3B,82,28.0,36.0,0.0,0,0.298,5.0,3.0,3.0,13.0,283,3.451,4.9,19.5,0.024,0.25,0.12,0.0,0.0,10,163,29,59,9,3,18,10,0,6,3,CAM,2,16,4,75,19,10.0,10.2,17.8,33.9,35.6,15.3,15.3,0.14600000000000002
2024,523.0,Piratas de Campeche,542655,Edwin Garcia,6,SS,113,34.0,41.0,1.0,1,0.286,7.0,0.0,6.0,16.0,440,3.894,10.6,13.3,0.009,0.8,0.091,3.0,0.0,20,195,24,86,9,2,30,17,0,3,5,CAM,1,15,12,99,25,2.7,5.5,12.3,43.0,40.7,5.8,10.5,0.02700000000000001
2024,523.0,Piratas de Campeche,622398,Marco Guzman,4,2B,9,2.0,3.0,0.0,0,0.4,0.0,1.0,0.0,1.0,37,4.111,0.0,33.3,0.0,,0.0,0.0,0.0,0,21,6,5,1,1,1,1,0,1,0,CAM,0,3,0,8,2,0.0,16.2,28.6,20.0,20.0,40.0,20.0,0.333
2024,523.0,Piratas de Campeche,593471,Isaias Tejeda,3,1B,119,43.0,40.0,0.0,1,0.274,8.0,2.0,1.0,9.0,482,4.05,13.4,19.3,0.042,0.696,0.18,1.0,0.0,16,181,40,78,10,1,26,11,0,7,7,CAM,5,23,16,100,25,18.5,8.3,22.1,34.6,42.3,10.3,12.8,0.059
2024,523.0,Piratas de Campeche,678540,Brayan Quintero,6,SS,192,57.0,54.0,5.0,2,0.272,11.0,8.0,3.0,27.0,665,3.464,6.3,14.6,0.016,0.429,0.103,3.0,0.0,22,342,62,144,11,7,64,15,0,12,13,CAM,3,28,12,165,40,8.1,9.3,18.1,25.7,53.5,13.2,7.6,0.08299999999999999
2024,523.0,Piratas de Campeche,616570,Daniel Sanchez,2,C,61,15.0,25.0,1.0,0,0.286,1.0,0.0,2.0,12.0,202,3.311,1.6,16.4,0.0,0.1,0.017,1.0,0.0,10,136,24,50,9,2,15,8,0,3,3,CAM,0,10,1,59,14,0.0,11.9,17.6,36.0,36.0,10.0,18.0,0.14800000000000002
2024,523.0,Piratas de Campeche,664768,Connor Panas,9,RF,82,47.0,31.0,0.0,1,0.204,12.0,1.0,0.0,11.0,327,3.988,3.7,25.6,0.098,0.143,0.377,1.0,0.0,17,187,57,57,8,0,14,12,0,3,3,CAM,8,21,3,77,18,27.6,17.4,30.5,50.9,29.8,5.3,14.0,0.219
2024,523.0,Piratas de Campeche,594092,Angel Chavarin,X,X,51,16.0,29.0,0.0,0,0.303,3.0,0.0,4.0,9.0,200,3.922,5.9,27.5,0.02,0.214,0.104,0.0,1.0,4,93,20,34,4,0,15,9,0,1,1,CAM,1,14,3,48,11,7.7,10.0,21.5,38.2,47.1,2.9,11.8,0.21600000000000003
2024,523.0,Piratas de Campeche,824271,Jonathan Mendoza,4,2B,121,29.0,56.0,0.0,1,0.317,3.0,1.0,5.0,21.0,424,3.504,1.7,29.8,0.0,0.056,0.026,2.0,0.0,8,223,62,82,4,1,43,8,0,6,12,CAM,0,36,2,117,26,0.0,14.6,27.8,19.5,67.1,8.5,4.9,0.28099999999999997
2024,523.0,Piratas de Campeche,495664,Ricardo Serrano,5,3B,192,55.0,93.0,1.0,2,0.246,10.0,2.0,1.0,22.0,725,3.776,7.8,24.5,0.026,0.319,0.116,0.0,0.0,31,383,109,128,14,4,44,19,0,8,8,CAM,5,47,15,172,35,10.0,15.0,28.5,39.1,40.6,9.4,10.9,0.16699999999999998
2024,523.0,Piratas de Campeche,675970,Alex Robles,7,LF,10,2.0,4.0,0.0,0,0.222,0.0,0.0,1.0,3.0,33,3.3,0.0,10.0,0.0,,0.0,0.0,0.0,2,15,1,9,1,0,4,0,0,1,1,CAM,0,1,0,10,2,0.0,3.0,6.7,22.2,55.6,11.1,11.1,0.1
2024,523.0,Piratas de Campeche,620442,Wendell Rijo,4,2B,64,15.0,17.0,1.0,0,0.244,2.0,1.0,0.0,10.0,256,4.0,9.4,21.9,0.016,0.429,0.071,1.0,0.0,5,108,20,43,3,2,22,6,0,0,5,CAM,1,14,6,56,11,9.1,7.8,18.5,25.6,62.8,4.7,7.0,0.125
2024,523.0,Piratas de Campeche,591572,Jose Aguilar,8,CF,99,23.0,34.0,3.0,1,0.231,5.0,2.0,1.0,13.0,395,3.99,9.1,19.2,0.01,0.474,0.083,1.0,0.0,12,172,30,69,8,2,31,5,0,8,3,CAM,1,19,9,84,16,5.9,7.6,17.4,24.6,49.3,14.5,11.6,0.101
2024,523.0,Piratas de Campeche,520976,Engel Beltre,7,LF,68,16.0,25.0,0.0,0,0.234,5.0,1.0,2.0,7.0,258,3.794,8.8,19.1,0.0,0.462,0.083,2.0,0.0,8,142,30,47,4,1,23,6,0,3,2,CAM,0,13,6,60,11,0.0,11.6,21.1,29.8,53.2,8.5,8.5,0.10300000000000001
2024,523.0,Piratas de Campeche,823942,Yordi Martinez,X,X,34,7.0,11.0,0.0,0,0.333,2.0,0.0,0.0,4.0,133,3.912,11.8,44.1,0.0,0.267,0.067,0.0,0.0,4,71,27,15,1,0,5,2,0,1,2,CAM,0,15,4,30,5,0.0,20.3,38.0,40.0,46.7,6.7,6.7,0.323
2024,523.0,Piratas de Campeche,802394,Carlos Villegas,5,3B,75,11.0,26.0,0.0,1,0.216,0.0,4.0,0.0,11.0,278,3.707,4.0,22.7,0.0,0.176,0.0,0.0,0.0,15,154,28,51,3,0,22,3,0,1,7,CAM,0,17,3,67,11,0.0,10.1,18.2,35.3,56.9,2.0,5.9,0.187
